page,keyword,content,user,time,reposts,comments,likes,url
1,光农互补,【潍坊寿光田柳镇：打造“光明顶”产业 点亮乡村绿色发展】近年来，寿光市田柳镇坚持生态优先、绿色发展理念，利用资源优势，因地制宜，积极探索“光明顶”产业，通过“光伏+”，发展绿色清洁能源，助力节能减排的同时，带动群众增收，促进经济发展。牧光互补 让畜牧业与新能源协同发展优然牧业厂区内，40.08MWp多点并网分布式光伏发电项目已并网发电。该项目投资2.04亿元，总面积约6万平方米，利用优然牧业厂区11座泌乳牛舍建设安装555wp光伏组件。项目分为两期，一期采用自发自用余电上网模式，在1-6号泌乳牛舍上安装组件10254块；二期采用全额上网模式，在7-11号泌乳牛舍上安装组件10192块，总装机容量为11.347MW，年发电量为1248.6万度。在牛舍上安装光伏组件，既可以发电增收，也对牛舍起到隔热降温作用，实现了畜牧业与新能源电力的协同发展，对于推动资源集约高效利用发挥了示范引领作用。渔光互补 实现水上闲置资源“闪金光”4.6MW分布式光伏发电项目，位于郎家营村，投资1600万元，占地68亩，总面积45328平方米。该地原为废弃大坑，常年积水，存在安全隐患。为将闲置资源有效利用，积极开展招引，引进能源企业，落地光伏项目。目前，该项目已建设完成，共安装6969块组件，年均发电量为600万度，每年可增加集体经济收入近8万元。通过盘活闲置资源，实现了生态修复与产业发展相得益彰的良性循环。农光互补 拓宽村集体经济增收新渠道为实现村集体增收，在“双碳”目标引领下，田柳镇积极推动农村新能源发展，鼓励各村充分利用资源禀赋，引进光伏项目。按每块60元的价格将村内公共区域房屋屋顶租赁给能源公司，用于建设分布式光伏发电项目。目前，田柳镇闫家、东马、申明亭、薛家、寨里等15个村完成光伏组件安装，共安装光伏组件超2000块，各村可实现年增收4300-15000元不等，为乡村振兴提供了支撑。​下一步，田柳镇将再接再厉，因地制宜，打造系列惠民项目，建设便民设施，努力实现经济、生态和社会效益的有机统一，助力乡村振兴“加速跑”。#潍坊寿光# #潍坊身边事# #寿光新闻# ,寿光市融媒体中心,2024-05-31 09:40,0,0,0,https://weibo.com/5907970062/OgNi5xPOG
1,光农互补,（转）中国考古的中国特色是毋庸置疑的。这首先就在于中国考古面对一个非常独特而体系宏富的研究对象，这个对象有自己独特的内涵，尤其是具有时空广阔、系统丰富的优势，在世界国别考古中都是独一无二的。百年来的中国考古已经揭示了我们这个民族、这个文化和文明具有约两百万年的根系，从直立人甚至使用奥杜威石器技术的能人开始，就有古人类在中国这块大地上生存繁衍。现代人从南方沿海和北方草原地带迁徙而来后，不但这里成功实现南北会师，融合发展，而且和多样环境中生存的更早期的古人类也发生过较其他地方更多的交流融合，甚至较多地保留着主要活跃在欧洲和西亚的尼安德特人基因。不同族群古人类能够较为充分地融合发展，是由东亚丰富多样的地理环境及其塑造的人类适应和生存方式的多样性与包容性所决定的。在距今万年左右全新世到来之际，早期中国人因地制宜，率先驯化了旱作的粟、黍与水作的稻米作为主要农作物，以及狗、猪、鸡等畜禽与农业形成互补，较早发展了制陶攻玉、养蚕缂丝以及发达的竹木漆器等独特文化，进而形成若干定居性区域文化传统，成为世界上少数几个农业发达、人口众多的文化圈之一，文明之光遍布各地。到距今五千年左右，经过区域性农业文化的充分发展，气候波动，文化交互作用加强，对西来的大麦小麦、牛羊马以及冶金等新文化因素积极吸收采纳，黄河中下游的中原一带由于位居东西地势与南北气候交汇处的地理环境优势，逐步整合较大范围的文化因素，建立起五谷丰登、六畜兴旺、不同族群和文化熔铸一体的王朝国家，跻身于文明古国之列。经过夏商周赓续和秦汉一统，这个文明体系犹如海纳百川，不断融合、壮大、更新，今天仍然矗立于中华大地。前工业时代的中华文明其实是包括了旱作与稻作两大农业体系、东北亚的渔猎经济圈、北方与青藏高原的游牧与农牧文化圈以及西北的游牧和绿洲文化圈等不同经济文化类型的深根巨型文明体系。这就是中国考古学独特的研究对象。而百年来的中国考古，也以实证的考古发现揭示了中国文明具有族群上的融合性，经济上的多样性，文化上的包容性，以及文明上的连续性等突出特点。最近，因为考古学科受到中央领导和社会各界高度重视，迎来快速发展的历史性机遇，建设中国特色、中国风格、中国气派的考古学被提上日程。其实，中国考古初创之时，就具有以科学理论与方法，重新发现和研究中华民族早期历史的初心，以及将科学考古中国化的自觉追求，尤其是新中国成立以来，中国考古学界一直希望建立马克思主义指导下的中国特色考古学。20世纪80年代，考古学界前辈苏秉琦与夏鼐曾经就有无或者何为中国特色的考古学或者考古学的中国学派有过争论。1984年俞伟超和张忠培在《苏秉琦考古学论述选集》编后记中概括了考古学的中国学派主要内容。以苏秉琦为代表的影响广泛的考古学区系类型学说显然被俞伟超和张忠培等人认为是中国学派的核心内涵，也被一些人认为是构成中国文化、中国文明及中华民族形成的多元一体学说的重要基础。 这样的归纳引起夏鼐的质疑，他曾严肃地质问：中国特色的学科体系与所谓中国学派的考古学是否一回事？显然在夏鼐看来，中国考古发掘和研究对象的特色，区系类型理论方法等当然有中国特色，但未必能构成所谓的中国学派，它们总体上仍属于文化历史学派和进化论的考古学重建地域性人类及其文化发展时空框架和谱系一脉，是在以地层学和类型学为指导的科学考古学诞生之后，以考古发现与研究构建时空框架的普遍性探索的中国表现。 今天我们已经知道，马克思主义考古学也不为中国所独有，而是从考古发现研究社会关系和发展阶段，具有普遍性的理论指导与实践，马克思主义考古学者柴尔德的新石器革命、城市革命等理论在中外都曾经产生过广泛而深远的影响。当然，除了如此宏富而独特的研究对象以及具有中国特色的考古成果表达，从学科理论与实践角度来看，中国考古实际上确实有几个其他地方做考古所无法拥有的突出优势。就一般的考古学理论、方法和技术手段来说，作为一门科学，发展到一定阶段，大家基本上是相似甚至是一样的。但是，在中国从事考古显然具有历史文献的优势，得益于甲骨文产生以来的持续记录，中国积累了大量丰富的历史文献，按照现代史学的标准，它们可能不系统甚至不准确、不真实，有的甚至属于神话传说或者杜撰，文献之间也有相互抵牾之处，但它毕竟是古人对古物古事的看法，是一重难得的证据，不能把它们当作包袱。张光直在其代表作《商文明》的绪论中提出探索商代历史的五条途径，即传统历史文献、青铜器、卜甲和卜骨、考古学、理论模式，并认为经此五道门径，方可比较全面地对包括生产、分配、祭祀、权力等在内的商时代的文化全貌进行系统分析，窥视商代文明的堂奥。因此，传统历史文献、青铜器、卜甲和卜骨不仅是商代考古独特的资料，也具有方法与理论方面的意义，因此被张光直视为通往商代的材料与方法之门。 https://mp.weixin.qq.com/s?__biz=Mzg4MTU0NDY3Ng==∣=2247511514&idx=2&sn=2b42f3cfba7701f58b3c34e2183848bc&chksm=cebb7998d00521dbb6ffbdd0c9c9ed48d522e39e77ac1db16f55ac5abba7f89bc95b1c8beaf3&xtrack=1&scene=90&subscene=93&sessionid=1711497219&flutter_pos=20&clicktime=1711497272&enterid=1711497272&finder_biz_enter_id=4&ranksessionid=1711496931&ascene=56&fasttmpl_type=0&fasttmpl_fullversion=7135624-zh_CN-zip&fasttmpl_flag=0&realreporttime=1711497272531&devicetype=android-31&version=28003039&nettype=WIFI&abtest_cookie=AAACAA%3D%3D⟨=zh_CN&session_us=gh_4d0398738e00&countrycode=CN&exportkey=n_ChQIAhIQjiIL8ZYqzmCexhpZigmxFRLrAQIE97dBBAEAAAAAAP1NJ8U8%2BfEAAAAOpnltbLcz9gKNyK89dVj0Q71244%2B%2B%2FmbLYsNUakbbD8orbVAqdO%2B0NIynaDf9zZBD%2FhKB6o%2Fu1r9jIvlmbGpIBELwQHgPFD2d83nWZMMhpBkpo0BJ9X2c%2BTPGTyNSA37sPpYUKF4OgZhVb%2Fhkpv4du5BbW68e1RjxRPX7eDRVoSM18%2BxFRohgGD8mvRNbU1%2F3AojswjqMciKjuve8JgI0C5U%2FTQxftuFRyfLJ5N2%2BfB7DeUJZ%2FrGNLgNxwjbrsJTDF5rrN9%2FAWDZWDpODoBWmJLHFquE%3D&pass_ticket=8SWdH3ClfQaGO0e38g2luFMCjrz2POnRepydO7ixYr5iAiU2%2F%2B1WD1caA%2BTGJxO8lI%2FWAvezbh5jvUX%2FSa4lrA%3D%3D&wx_header=3 ,葛归愚,2024-05-31 07:24,0,0,0,https://weibo.com/2661956384/OgMpgsWLV
1,光农互补,#数字赋能内蒙古生态绿色发展#【矿区复垦土地的“绿色转身”】#新质生产力的内蒙古发展之道#空气清新、绿树成荫、鸟语花香，漫步5月的准格尔召镇集中连片复垦区，眼前的美景令人心旷神怡。很难想象，曾经这里寸草不生，尘土飞扬。　　准格尔召镇位于鄂尔多斯市准格尔旗西部，全镇面积近四分之三为矿区，矿产资源丰富。为推动“黑色经济”向“绿色效益”转变，近年来，该镇着力深耕绿色发展，结合“万企兴万村”行动，引导企业打破单打独斗格局，推动绿色矿山集中连片治理。截至目前，准格尔召镇累计投入8.4亿元，复垦绿化4655公顷，栽种苗木567万株，建成绿色矿山16座。同时，当地瞄准“绿水青山”向“碳汇富地”升级转型，围绕“两山+双碳”全面推进零碳工程。该镇还在准格尔召、四道柳、沙蒿塔村推动实施“党建+屋顶分布式光伏项目”，利用清洁能源供暖取代散煤取暖，实现“清洁能源+乡村振兴”融合发展。　　近年来，准格尔旗坚持还绿于民、还利于民，以绿色发展为主线，下大力气构建“现代能源经济+绿色矿山建设+乡村振兴”的综合发展模式，引导驻地企业探索建设生态产业园项目、风光农牧林一体化示范项目，利用矿区复垦土地发展种植养殖业和光伏产业相结合的农光互补产业，助推经济效益、社会效益、生态效益有机统一。(记者  帅政  实习记者  方圆)#万千气象看中国北疆绿潮奔涌网络主题传播活动# ,内蒙古日报,2024-05-30 15:30,1,0,3,https://weibo.com/3919603060/OgG9F3x7k
1,光农互补,#大美江西#【光伏发电照亮乡村振兴路】5月28日，航拍江西新余高新区马洪办事处竹元村250mw农光互补光伏电站，一块块光伏发电板镶嵌在山水相连的山坡上，成为江西新余农村的一道亮丽的风景。近年来，江西新余积极践行生态优先、绿色发展理念，因地制宜发展农光互补电站将山地、丘陵果业、油茶等特色种植与光伏发电有机融合有效提升土地资源综合利用实现光伏发电绿色发展和农业的增值增效为加快推进乡村振兴奠定了坚实基础。#江西是个好地方# 视觉江西 郭锋杰 贾全聿 摄 ,大江网,2024-05-30 10:00,0,0,0,https://weibo.com/1767961804/OgDZIhpbV
1,光农互补,#商丘日报# 【日照新印象】“日出初光先照”，位居黄海之滨的日照由此得名。5月22日至25日，“共同谱写中国式现代化日照篇章”全国百家媒体新闻摄影活动如期举行。　　一路随手拍，见闻皆触情——　　时值孟夏，日照30万亩茶园嫩芽初展、苍翠如海。“南茶北引”70载，滨海日照变茶乡。茶生产、茶产品、茶文化“三位一体”，茶种植、茶产业、茶直播“三产融合”，年产值40亿元、世界三大海岸绿茶城市之一的名号看来不虚。　　沧海桑田历千载，经山历海志不改。如今这块生活着300万人民最早享受曙光初照的地方，除了率先智能化的海港和诗意化的阳光海岸，5000多平方公里的土地上，不仅生长着“南茶北移”的茶园，还有集组培、智能温室、冷链加工于一体的现代农业蓝莓产业园，又有丘陵薄地“板上发电、板下种植”的蔚为壮观的光伏产业基地，也有小蜜蜂做成“蜂业+旅游”的嗡嗡乐园，更有传统产业升级的纺织厂、脱胎于县级拖拉机站而滚动发展跻身中国机械重点骨干企业的五征集团，以及电子信息产业的触摸屏……目之所及，活力四射。　　走进历史，凭借一句成语“毋忘在莒”，相当于现在的“不忘初心”，日照人竟在一堵仅存明代1600多米的残垣基础上打造“中国春秋第一城”，数年间成就了一座古今交融、夜景灿烂、网红打卡的莒国故城。　　登临与我宋国故城同时期但层级显然低很多的莒国故城北门城楼，大红灯笼高高挂，恍若置身商丘古城，北门名字也叫“拱辰门”！ 文/图 见 闻图一：5月22日，日照市后村镇竹园社区茶园，直播达人把直播间搬到田间带货直播。图二：5月22日，日照市东港区陈疃镇蓝莓基地组培幼苗室。图三：日照东港区三庄镇90MW集中式农光互补电站。图四：5月24日，日照高新区奥莱电子科技有限公司金属镀膜版车间。图五：5月23日，日照市腾峰纺织智能化生产线。图六：5月23日，日照嗡嗡乐园养蜂场，养蜂酿蜜技艺传承人王学祥现场割蜂巢蜜，供游客品尝。图七：5月23日，日照市五征集团卡车装配车间。图八：5月24日，日照阳光海岸金沙滩上捡贝壳的少年。图九：5月23日晚，莒国故城流光溢彩的拱辰门。图十：5月22日，日照市后村镇竹园社区茶园采茶女在采摘新芽。 ,商丘网,2024-05-29 12:00,0,0,0,https://weibo.com/1966122321/OgvlVa1yS
1,光农互补,#盛说光伏# 新增集中式风电、集中式光伏配储10%！国家碳达峰试点（杭州）实施方案印发5月28日，杭州市人民政府发布《关于印发国家碳达峰试点（杭州）实施方案的通知》，方案提出：到2025年，“双碳”数智赋能行动取得积极进展，全市能源结构持续优化，能源利用效率不断提升，城乡建设、交通等重点领域绿色低碳发展取得显著成效，总结凝练形成一批绿色低碳发展经验和模式。到2030年，全面建成全国碳达峰数智治理标杆区、科技引领样板区和制度创新示范区，探索形成产业轻量型城市碳达峰实现路径。方案要求，实施能源低碳转型攻坚行动。加快可再生能源开发利用。充分利用坑塘水面、废旧矿山、封场填埋场、山间林地等资源，因地制宜建设农（林、茶、渔）光互补光伏，积极推动整村光伏、园区光储直柔一体化等新型开发模式。大力推进光伏建筑一体化，推动碲化镉、钙钛矿等技术迭代应用，加强光伏建筑一体化（BIPV）与装配式建筑融合发展。到2025年和2030年，光伏装机分别达到480万千瓦、650万千瓦。加快分散式风电建设，积极探索风电开发政策，到2025年，确保装机达到5万千瓦，力争达到10万千瓦。有序推进老旧水电增效扩容，因地制宜开展生物质发电项目建设，积极探索氢能、地热、水源热泵等新型能源开发利用，不断提升非化石能源消费占比。加快新型电力系统建设。推动电源侧多能互补，开展风能、光伏、经灵活性改造的传统火电、地源热泵、水源热泵、余热利用等多种能源利用形式调配互补。全面挖掘工业生产、商业楼宇、数据中心、充电桩等领域的柔性可调节资源，试点建设虚拟电厂。引导可再生能源项目配套储能，新增并网的集中式风电和集中式光伏按照不低于装机容量10%配置储能，合理布局电网侧储能，推动用户侧储能发展，开展水系电池、液流电池、氢储能新型储能技术示范，加快推进建德乌龙山、桐庐白云源等抽蓄项目建设。推动坚强智慧电网建设，加快可再生电力送出通道建设，推动农村配电网和配电系统升级。打造“双碳”技术研发策源地。聚焦创新清单和项目清单，推进关键核心技术攻关。以储能、光伏、风电等产业链为重点，动态制定发布“双碳”“创新清单”。实施“双碳”关键核心技术攻关“项目清单”，常态化开展科技创新项目征集和申报工作，推行“揭榜挂帅”“赛马制”等模式，力争每年实施15—20个重点项目。支持各类创新主体协同建设创新联合体推进联合攻关。推进碳捕集利用技术研发攻关，加大相关企业招引和培育力度，探索在水泥、热电、化工等行业开展试点，构建二氧化碳回收利用产业链。#工商业光伏##光伏##光伏发电# ,新盛美新能源,2024-05-29 09:43,0,0,0,https://weibo.com/7812311626/OgusubgY8
1,光农互补,#小英说事儿# 大力推进BIPV！杭州发布《国家碳达峰试点（杭州）实施方案》5月28日，杭州印发国家碳达峰试点(杭州)实施方案，其中提到，充分利用坑塘水面、废旧矿山、封场填埋场、山间林地等资源，因地制宜建设农(林、茶、渔)光互补光伏，积极推动整村光伏、园区光储直柔一体化等新型开发模式。大力推进光伏建筑一体化，推动碲化镉、钙钛矿等技术迭代应用，加强光伏建筑一体化(BIPV)与装配式建筑融合发展。到2025年和2030年，光伏装机分别达到480万千瓦、650万千瓦。加快分散式风电建设，积极探索风电开发政策，到2025年，确保装机达到5万千瓦，力争达到10万千瓦。有序推进老旧水电增效扩容，因地制宜开展生物质发电项目建设，积极探索氢能、地热、水源热泵等新型能源开发利用，不断提升非化石能源消费占比。 ,英利集团官方微博,2024-05-29 09:39,0,0,0,https://weibo.com/1762200797/OguqT9GXP
1,光农互补,【揽金136亿元！西洽会江津签约3个项目】5月23日，第六届中国西部国际投资贸易洽谈会重大项目签约仪式在重庆悦来国际会议中心举行，江津区签约3个项目，揽金136亿元。此次签约的3个项目分别为中科纳米新材料西南智造基地、诺比侃机器视觉智能装备生产总部、大京农光互补示范项目，涉及先进材料、智能装备及智能制造、新能源及新型储能等方面。#第六届中国西部国际投资贸易洽谈会# ,江津发布,2024-05-29 09:24,0,0,0,https://weibo.com/2639588250/OgukYsk2f
1,光农互补,#光伏#【杭州：到2025年和2030年 光伏装机分别达到480万千瓦、650万千瓦】杭州印发国家碳达峰试点(杭州)实施方案，其中提到，充分利用坑塘水面、废旧矿山、封场填埋场、山间林地等资源，因地制宜建设农（林、茶、渔）光互补光伏，积极推动整村光伏、园区光储直柔一体化等新型开发模式。大力推进光伏建筑一体化，推动碲化镉、钙钛矿等技术迭代应用，加强光伏建筑一体化（BIPV）与装配式建筑融合发展。到2025年和2030年，光伏装机分别达到480万千瓦、650万千瓦。加快分散式风电建设，积极探索风电开发政策，到2025年，确保装机达到5万千瓦，力争达到10万千瓦。有序推进老旧水电增效扩容，因地制宜开展生物质发电项目建设，积极探索氢能、地热、水源热泵等新型能源开发利用，不断提升非化石能源消费占比。（杭州市人民政府） ,遂昌快活林,2024-05-28 17:42,0,0,3,https://weibo.com/1908417784/Ogoaj8rGq
1,光农互补,#重庆电建建什么# 5月28日，#重庆电建# 承建的广西德保乡村振兴光伏发电项目（第三批）EPC总承包项目首并成功，“借光生金”赋能#乡村振兴# 。该项目是持续发展广西百色市德保县乡村振兴生态修复#农光互补# 分布式光伏发电项目群又一重点工程，项目整体建成后对促进农村地区能源绿色转型发展，稳步带动村级集体经济持续增收，巩固拓展#脱贫攻坚# 成果具有重要意义。 ,中电建重庆工程公司,2024-05-28 15:37,0,0,4,https://weibo.com/7906162049/OgnlzgywO
2,光农互补,电力+光伏+储能，受益于水电燃气价格调涨，盈利预期有望得到改善，当前已有3个项目被评为成都市2023年储能示范项目，这家公司获净买入。乐山电力 sh600644 ：电力+光伏+储能，公司经营业务为电力、天然气、自来水、综合能源、宾馆等。主要业务为电力业务、天然气业务、自来水业务、综合能源业务、宾馆业务等。公司电力业务拥有水力发电站和独立的电力网络，主要通过自发电力销售和“购销电力差价”获取收益。近期，国内多地上调水电燃气价格。光大证券认为，受益于水电燃气价格调涨，公用事业板块盈利改善预期强。除此之外，全球数据中心耗电量激增，高盛指出，2030年全球AI数据中心电力需求量将大涨160%。公司参股的四川晟天新能源发展有限公司主营业务为太阳能光伏电站的开发、投资、建设、运营和管理，光伏电站项目包括“牧光互补”、“渔光互补”、“农光互补”等光伏复合电站以及分布式光伏电站等多种类型。公司已与108家用户达成意向协议，建成用户侧和台区侧储能项目7个，其中3个项目被评为成都市2023年储能示范项目。 ,财经股海短线将军,2024-05-26 15:30,0,0,0,https://weibo.com/5235441992/Og4s1luQV
2,光农互补,#咸林智慧运维##光伏发电# 5月22日，安化县人民政府关于印发《安化县碳达峰实施方案》的通知，通知指出，到2025年，完成安化县光伏发电项目（一）建设，总装机33.2万千瓦。包括：清塘铺光伏发电项目（二期）装机规模7.2万千瓦、大福镇农光互补发电项目装机规模8万千瓦、乐安镇二期光伏发电项目装机规模2.8万千瓦、南金乡农光互补发电项目装机规模4万千瓦、田庄乡农光互补发电项目装机规模2万千瓦、冷市镇光伏发电项目装机规模4万千瓦、仙溪镇光伏发电项目装机规模1.2万千瓦、滔溪镇光伏发电项目（一期）（二期）装机规模8万千瓦。完成安化县光伏发电项目（二）建设，总装机112万千瓦。包括：清塘铺光伏发电项目（一期）装机规模12万千瓦、平口镇光伏项目装机规模5万千瓦、清塘铺镇光伏项目装机规模20万千瓦、渠江镇光伏项目装机规模5万千瓦、滔溪镇光伏项目装机规模10万千瓦、仙溪镇光伏项目装机规模10万千瓦、烟溪镇光伏项目装机规模10万千瓦、羊角塘镇光伏项目装机规模10万千瓦、农光互补发电项目装机规模5万千瓦、柘溪镇光伏项目装机规模10万千瓦、渠江镇夫溪村光伏发电项目装机规模15万千瓦。 ,咸林智慧运维,2024-05-23 16:51,0,1,0,https://weibo.com/7579473608/OfCHb869F
2,光农互补,#咸林智慧运维##光伏发电##分布式光伏# 5月22日，湖南安化县人民政府印发《安化县碳达峰实施方案》的通知。文件提出，大力发展可再生能源。依托绿色能源产业发展，以光伏利用为重点，以城区为发展新增点，以应用场景和整体连片推进等开发模式创新为发展主动力，推进可再生能源利用取得新突破。坚持集中式与分布式光伏利用并举，积极开展农光互补、林光互补、茶光互补、渔光互补、屋顶分布式光伏、户用光伏发电，重点推进乐安镇、田庄乡等地光伏发电项目建设。实施存量光伏技改行动，以保安全、提效率、降成本为目标，充分利用物联网、云计算、大数据、人工智能等技术手段，结合新材料、新技术、新工艺，推进组件清洗、SSG纳米涂层改造、老旧设备更换、系统升级、电力二次安防改造、屋顶锈蚀桥架、电缆槽盒改造等举措，确保存量光伏项目安全运营、发电效率持续提升。 ,咸林智慧运维,2024-05-23 15:10,0,4,9,https://weibo.com/7579473608/OfC2qaJvN
2,光农互补,#盛说光伏# 湖南安化县：到2025年完成光伏发电项目145.2万千瓦5月22日，安化县人民政府关于印发《安化县碳达峰实施方案》的通知，通知指出，到2025年，完成安化县光伏发电项目（一）建设，总装机33.2万千瓦。包括：清塘铺光伏发电项目（二期）装机规模7.2万千瓦、大福镇农光互补发电项目装机规模8万千瓦、乐安镇二期光伏发电项目装机规模2.8万千瓦、南金乡农光互补发电项目装机规模4万千瓦、田庄乡农光互补发电项目装机规模2万千瓦、冷市镇光伏发电项目装机规模4万千瓦、仙溪镇光伏发电项目装机规模1.2万千瓦、滔溪镇光伏发电项目（一期）（二期）装机规模8万千瓦。完成安化县光伏发电项目（二）建设，总装机112万千瓦。包括：清塘铺光伏发电项目（一期）装机规模12万千瓦、平口镇光伏项目装机规模5万千瓦、清塘铺镇光伏项目装机规模20万千瓦、渠江镇光伏项目装机规模5万千瓦、滔溪镇光伏项目装机规模10万千瓦、仙溪镇光伏项目装机规模10万千瓦、烟溪镇光伏项目装机规模10万千瓦、羊角塘镇光伏项目装机规模10万千瓦、农光互补发电项目装机规模5万千瓦、柘溪镇光伏项目装机规模10万千瓦、渠江镇夫溪村光伏发电项目装机规模15万千瓦。#光伏#光伏超话#工商业光伏##光伏发电# ,新盛美新能源,2024-05-23 10:03,0,0,0,https://weibo.com/7812311626/OfA1BmbV9
2,光农互补,#一起去内蒙古种太阳#【直播|特别节目：一起去内蒙古“种太阳”】在鄂尔多斯市西南部鄂托克前旗毛乌素沙漠腹地，遍布着成片的光伏板“蓝海”，这里是国家第二批以沙漠、戈壁、荒漠地区、采煤沉陷区为重点的大型风电光伏基地项目，发电的同时还可实现板下种植、农光互补、牧光互补等“光伏+生态”场景，在改善生态环境的同时，帮助农牧民创效增收。中国日报记者侯黎强、Jamal Branford一起走进这片“蓝海”，和工人们一起体验太阳能光伏板的安装，快跟他们一起去探索如何在沙地里“种太阳”吧！（cr:中国日报网）O网页链接 ,奥泰开关,2024-05-23 09:01,0,0,0,https://weibo.com/7294560666/OfzCt1gRS
2,光农互补,#一起去内蒙古种太阳#【直播|特别节目：一起去内蒙古“种太阳”】在鄂尔多斯市西南部鄂托克前旗毛乌素沙漠腹地，遍布着成片的光伏板“蓝海”，这里是国家第二批以沙漠、戈壁、荒漠地区、采煤沉陷区为重点的大型风电光伏基地项目，发电的同时还可实现板下种植、农光互补、牧光互补等“光伏+生态”场景，在改善生态环境的同时，帮助农牧民创效增收。中国日报记者侯黎强、Jamal Branford一起走进这片“蓝海”，和工人们一起体验太阳能光伏板的安装，快跟他们一起去探索如何在沙地里“种太阳”吧！  L中国日报网的微博视频 ,中国日报网,2024-05-22 19:00,1,1,2,https://weibo.com/2127460165/Ofu76d11z
2,光农互补,【特别节目：#一起去内蒙古种太阳#】在鄂尔多斯市西南部鄂托克前旗毛乌素沙漠腹地，遍布着成片的光伏板“蓝海”，这里是国家第二批以沙漠、戈壁、荒漠地区、采煤沉陷区为重点的大型风电光伏基地项目，发电的同时还可实现板下种植、农光互补、牧光互补等“光伏+生态”场景，在改善生态环境的同时，帮助农牧民创效增收。中国日报记者侯黎强、Jamal Branford一起走进这片“蓝海”，和工人们一起体验太阳能光伏板的安装，快跟他们一起去探索如何在沙地里“种太阳”吧！  L中国日报的微博视频 ,中国日报,2024-05-22 19:00,5,2,22,https://weibo.com/1663072851/Ofu73DTOh
2,光农互补,#第五个国际茶日# 【只此“青绿”，“茶光互补”绘就乡村振兴新画卷】山间有春茶，茶上有光伏。中国能建中电工程投资、云南院参股投资并总承包建设的普洱市思茅区南屏西光伏项目，是云南省普洱市首批全容量并网的“茶光互补”项目。为推动绿色低碳高质量发展，探索乡村振兴、助农增收新路子，普洱市抢抓新能源产业发展机遇，立足资源优势，因地制宜发展“上部空间光伏发电，下部空间种植茶叶”的茶光互补模式，把绿色能源优势转化为经济发展优势，助力乡村振兴。#微博寻茶记# @中国能建 @国资小新 ,中电工程,2024-05-21 16:14,0,0,1,https://weibo.com/7754578071/OfjBgs8Ns
2,光农互补,【#国内首个项目级生态产品价值核算标准公布#】记者5月21日获悉，中国节能环保集团有限公司所属中节能生态产品发展研究中心日前正式公布《项目级生态产品价值核算技术通则》。该标准是国内首个针对基础设施项目的生态产品价值核算标准。据介绍，目前该标准已在光伏发电、风力发电、固废处理等行业开展试点应用。在光伏领域，以中节能长兴70兆瓦光伏智慧农业综合示范项目为例，该项目采用农光、渔光互补的田园综合体模式建设，项目建设、运行全周期产生的生态产品价值约23亿元。（科技日报记者 刘园园） ,合肥高新发布,2024-05-21 14:59,0,0,0,https://weibo.com/3232445822/Ofj6BAhX9
2,光农互补,【#国内首个项目级生态产品价值核算标准公布#】记者5月21日获悉，中国节能环保集团有限公司所属中节能生态产品发展研究中心日前正式公布《项目级生态产品价值核算技术通则》。该标准是国内首个针对基础设施项目的生态产品价值核算标准。据介绍，目前该标准已在光伏发电、风力发电、固废处理等行业开展试点应用。在光伏领域，以中节能长兴70兆瓦光伏智慧农业综合示范项目为例，该项目采用农光、渔光互补的田园综合体模式建设，项目建设、运行全周期产生的生态产品价值约23亿元。（科技日报记者 刘园园） ,科技日报,2024-05-21 13:32,2,0,3,https://weibo.com/3515639462/OfixtEOax
3,光农互补,#点赞天津# 区农村中心政策研究科一行到孙各庄满族乡调研指导工作5月16日，区农村中心政策研究科一行到孙各庄满族乡调研指导工作。乡党委书记敬春雨同志，乡党委副书记、乡长蔡伯同志，副乡长王洪波同志陪同。区农村中心政策研究科科长马爱文同志就天津大唐国际盘山发电有限责任公司与孙各庄满族乡合作的农光互补光伏发电项目，涉及到的农村土地经营权流转相关业务工作进行现场指导。此次指导聚焦当前政策规定、法律法规，以依法维护农民权益为出发点和落脚点，以促进农业增效和农民增收为目标，加强农村土地经营权流转服务管理，为推进乡村振兴、加快农业农村现代化提供有力支撑。 ,炒草莓198503,2024-05-20 11:16,0,0,0,https://weibo.com/7686684634/Of8dBEtOG
